t,naive,true,difference
0.0,0.9989919354838708,0.9989919354838708,0.0
1.0,0.9969758064516129,0.9969758064516129,0.0
2.0,0.9949596774193546,0.9949596774193546,0.0
3.0,0.990927419354839,0.990927419354839,0.0
4.0,0.9885616308365981,0.9882392473118284,0.0003223835247696538
5.0,0.9807267178423729,0.9791666666666667,0.001560051175706123
6.0,0.969703445987454,0.967405913978495,0.0022975320089589912
7.0,0.9584767780165434,0.9539650537634413,0.00451172425310209
8.0,0.9520536276054121,0.9455645161290326,0.006489111476379539
9.0,0.9469526896848318,0.9371639784946237,0.009788711190208077
10.0,0.938646087143736,0.924059139784946,0.014586947358789959
11.0,0.9335849510454914,0.912634408602151,0.020950542443340492
12.0,0.9287393544137674,0.8961693548387101,0.03256999957505735
13.0,0.9124749472192744,0.866935483870968,0.045539463348306386
14.0,0.9021887101439984,0.8417338709677419,0.06045483917625649
15.0,0.8955157167257736,0.8239247311827961,0.07159098554297749
16.0,0.8890929605607327,0.8071236559139786,0.08196930464675412
17.0,0.8843435323526097,0.7906586021505376,0.09368493020207203
18.0,0.8789720365735496,0.7728494623655918,0.10612257420795779
19.0,0.871895780959961,0.7456317204301075,0.1262640605298535
20.0,0.8561765060628465,0.7059811827956991,0.15019532326714735
21.0,0.844217215184508,0.6733870967741936,0.17083011841031437
22.0,0.8312639156853462,0.6508736559139783,0.1803902597713679
23.0,0.8224519307134163,0.6310483870967744,0.1914035436166419
24.0,0.8175600233188385,0.6118951612903228,0.20566486202851564
25.0,0.799703798160549,0.584677419354839,0.21502637880571007
26.0,0.7850058169078074,0.5561155913978496,0.22889022550995775
27.0,0.7642750294894674,0.5157930107526881,0.24848201873677922
28.0,0.7425008121250948,0.4852150537634408,0.25728575836165396
29.0,0.7332676414043678,0.4674059139784947,0.26586172742587316
30.0,0.723414100870379,0.4472446236559142,0.27616947721446483
31.0,0.7173056585228604,0.42977150537634423,0.2875341531465162
32.0,0.7089541049307442,0.4122983870967742,0.29665571783397
33.0,0.6912793488521385,0.3840725806451612,0.3072067682069773
34.0,0.6713486847729417,0.34610215053763455,0.3252465342353072
35.0,0.6534758412515325,0.31418010752688186,0.3392957337246506
36.0,0.6425845772306734,0.29805107526881713,0.3445335019618563
37.0,0.6321993719420967,0.28729838709677413,0.3449009848453226
38.0,0.6251592898492002,0.2745295698924732,0.35062971995672704
39.0,0.6129907391952011,0.2597446236559141,0.353246115539287
40.0,0.5904068698564303,0.2375672043010754,0.35283966555535495
41.0,0.5599919705001899,0.20766129032258057,0.3523306801776093
42.0,0.5387508957570792,0.18951612903225815,0.3492347667248211
43.0,0.5281036448527892,0.1794354838709678,0.34866816098182135
44.0,0.5073484797712385,0.16498655913978494,0.3423619206314536
45.0,0.49509368557386596,0.153225806451613,0.34186787912225297
46.0,0.4741373390945489,0.14314516129032265,0.3309921778042263
47.0,0.4547282082544212,0.12399193548387097,0.3307362727705502
48.0,0.4395706013126071,0.10517473118279567,0.3343958701298114
49.0,0.43291044068665857,0.09643817204301079,0.33647226864364776
50.0,0.4150215795012593,0.09106182795698926,0.32395975154427004
51.0,0.40370280915122464,0.08467741935483872,0.31902538979638595
52.0,0.3995409245207996,0.07963709677419359,0.319903827746606
53.0,0.3950517006497796,0.07627688172043014,0.3187748189293495
54.0,0.3657886117127586,0.06821236559139784,0.2975762461213608
55.0,0.33966085373327565,0.05813172043010755,0.2815291333031681
56.0,0.3283388252754998,0.04872311827956989,0.2796157069959299
57.0,0.3220246170971247,0.04670698924731182,0.2753176278498129
58.0,0.3220246170971247,0.04569892473118282,0.2763256923659419
59.0,0.3220246170971247,0.04301075268817203,0.2790138644089527
60.0,0.3145356725134707,0.0379704301075269,0.2765652424059438
61.0,0.2897039088939862,0.03225806451612903,0.2574458443778571
62.0,0.2897039088939862,0.02990591397849462,0.25979799491549155
63.0,0.279357340719201,0.027553763440860225,0.25180357727834074
64.0,0.24583445983289698,0.025537634408602152,0.22029682542429482
65.0,0.24583445983289698,0.023185483870967753,0.22264897596192923
66.0,0.23412805698371136,0.022177419354838704,0.21195063762887267
67.0,0.23412805698371136,0.02083333333333334,0.21329472365037802
68.0,0.20948299835384707,0.019153225806451617,0.19032977254739544
69.0,0.17955685573186897,0.015456989247311832,0.16409986648455713
70.0,0.1645937844208799,0.014112903225806462,0.15048088119507344
71.0,0.1645937844208799,0.01344086021505377,0.15115292420582613
72.0,0.1645937844208799,0.012768817204301086,0.15182496721657882
73.0,0.1645937844208799,0.011760752688172048,0.15283303173270785
74.0,0.1645937844208799,0.011424731182795703,0.15316905323808422
75.0,0.1645937844208799,0.01008064516129032,0.1545131392595896
76.0,0.14630558615189318,0.009072580645161284,0.1372330055067319
77.0,0.14630558615189318,0.008400537634408598,0.13790504851748459
78.0,0.14630558615189318,0.008064516129032256,0.13824107002286093
79.0,0.14630558615189318,0.008064516129032256,0.13824107002286093
80.0,0.14630558615189318,0.008064516129032256,0.13824107002286093
81.0,0.14630558615189318,0.007392473118279566,0.13891311303361362
82.0,0.14630558615189318,0.006384408602150531,0.13992117754974265
83.0,0.14630558615189318,0.005712365591397845,0.14059322056049534
84.0,0.09753705743459544,0.004032258064516125,0.09350479937007931
85.0,0.09753705743459544,0.004032258064516125,0.09350479937007931
86.0,0.09753705743459544,0.004032258064516125,0.09350479937007931
87.0,0.09753705743459544,0.004032258064516125,0.09350479937007931
88.0,0.09753705743459544,0.0030241935483870937,0.09451286388620835
89.0,0.09753705743459544,0.0030241935483870937,0.09451286388620835
90.0,0.09753705743459544,0.0030241935483870937,0.09451286388620835
91.0,0.09753705743459544,0.002352150537634405,0.09518490689696103
92.0,0.09753705743459544,0.002352150537634405,0.09518490689696103
93.0,0.09753705743459544,0.002352150537634405,0.09518490689696103
94.0,0.09753705743459544,0.002352150537634405,0.09518490689696103
95.0,0.09753705743459544,0.002352150537634405,0.09518490689696103
96.0,0.09753705743459544,0.002016129032258062,0.09552092840233738
97.0,0.09753705743459544,0.002016129032258062,0.09552092840233738
98.0,0.09753705743459544,0.0016801075268817179,0.09585694990771372
99.0,0.09753705743459544,0.0016801075268817179,0.09585694990771372
100.0,0.09753705743459544,0.0013440860215053743,0.09619297141309006
101.0,0.09753705743459544,0.0013440860215053743,0.09619297141309006
102.0,0.09753705743459544,0.0013440860215053743,0.09619297141309006
103.0,0.09753705743459544,0.0013440860215053743,0.09619297141309006
104.0,0.09753705743459544,0.0013440860215053743,0.09619297141309006
105.0,0.09753705743459544,0.0013440860215053743,0.09619297141309006
106.0,0.09753705743459544,0.0013440860215053743,0.09619297141309006
107.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
108.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
109.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
110.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
111.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
112.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
113.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
114.0,0.09753705743459544,0.001008064516129031,0.09652899291846641
115.0,0.09753705743459544,0.0006720430107526871,0.09686501442384275
116.0,0.09753705743459544,0.0006720430107526871,0.09686501442384275
117.0,0.09753705743459544,0.0006720430107526871,0.09686501442384275
