t,cif_stockout,cif_replenished,survival_any,total
0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0
2.0,0.0011236211550692547,0.00021636521220360912,0.9986600136327283,1.000000000000001
3.0,0.002688503905895143,0.0007379762711711594,0.9965735198229295,0.9999999999999958
4.0,0.0053094144561467785,0.002354158676591303,0.992336426867255,0.9999999999999931
5.0,0.008121701040656864,0.004463378755813527,0.9874149202035112,0.9999999999999816
6.0,0.013073075131959377,0.007689769226830388,0.9792371556411866,0.9999999999999764
7.0,0.019789144220329534,0.012048453714906785,0.9681624020647459,0.9999999999999822
8.0,0.027529275793685987,0.017192952627636277,0.9552777715786565,0.9999999999999787
9.0,0.03644498731556013,0.023227278963973124,0.9403277337204395,0.9999999999999728
10.0,0.04777640862044797,0.03414787713805717,0.9180757142414658,0.9999999999999709
11.0,0.06013176613251215,0.045457655443930475,0.8944105784235311,0.9999999999999738
12.0,0.07403665216440836,0.058172264925702495,0.8677910829098577,0.9999999999999686
13.0,0.08973277287895441,0.07285492086718734,0.8374123062538303,0.999999999999972
14.0,0.10837173843174093,0.0874991641121273,0.8041290974561094,0.9999999999999776
15.0,0.1286910809967733,0.10477171062955468,0.7665372083736508,0.9999999999999788
16.0,0.14790567859371465,0.12488485786922747,0.727209463537033,0.9999999999999751
17.0,0.16771936518752803,0.14545386030927382,0.6868267745031758,0.9999999999999776
18.0,0.18871860806095886,0.1672594471723931,0.6440219447666157,0.9999999999999676
19.0,0.21239160766528728,0.1909303014356645,0.5966780908990192,0.999999999999971
20.0,0.2335545735481527,0.2144662778617733,0.5519791485900442,0.9999999999999701
21.0,0.2559777510397281,0.23878907821838774,0.505233170741855,0.9999999999999709
22.0,0.2754047642983453,0.2628613076054249,0.46173392809620367,0.9999999999999738
23.0,0.2934920245273146,0.2861616020708315,0.4203463734018244,0.9999999999999705
24.0,0.3106133133029741,0.30624531465871274,0.3831413720382872,0.999999999999974
25.0,0.3264211367931445,0.32809639788251405,0.34548246532431415,0.9999999999999727
26.0,0.3424958907979918,0.3461588374901961,0.31134527171178217,0.99999999999997
27.0,0.3570821665295148,0.3633958651614125,0.2795219683090444,0.9999999999999717
28.0,0.37143145548597917,0.3813074446851948,0.2472610998287977,0.9999999999999717
29.0,0.3824029981575371,0.3974141500783016,0.22018285176413593,0.9999999999999747
30.0,0.3918969547431934,0.41453310462839466,0.1935699406283822,0.9999999999999702
31.0,0.4001504429273745,0.42957166696466836,0.17027789010792563,0.9999999999999685
32.0,0.4071653763047477,0.44135946648820473,0.15147515720701554,0.9999999999999679
33.0,0.414565552319967,0.45238278926795505,0.13305165841204752,0.9999999999999696
34.0,0.4204589728353144,0.46170934157687576,0.11783168558777606,0.9999999999999661
35.0,0.42550013371445045,0.46973409642146197,0.10476576986405343,0.9999999999999658
36.0,0.4298870021749649,0.4768040763834394,0.09330892144156214,0.9999999999999665
37.0,0.4336612780466548,0.4832667892296129,0.083071932723703,0.9999999999999707
38.0,0.4365626527020608,0.49015675955023086,0.0732805877476757,0.9999999999999674
39.0,0.4395781291835354,0.4966557369108664,0.06376613390556427,0.9999999999999661
40.0,0.442550319943387,0.5014530777666464,0.05599660228993444,0.9999999999999678
41.0,0.4451632164624514,0.5057911752768344,0.04904560826068261,0.9999999999999684
42.0,0.44789443551294544,0.5099405794499141,0.04216498503710928,0.9999999999999689
43.0,0.4497398922371623,0.5134729379718262,0.0367871697909805,0.9999999999999691
44.0,0.45132327113777765,0.5160063442128134,0.03267038464937866,0.9999999999999697
45.0,0.4527519001145349,0.5184929053262722,0.028755194559163186,0.9999999999999704
46.0,0.4538660312690407,0.5204558983127824,0.02567807041814573,0.9999999999999688
47.0,0.45519237788154754,0.5222597297057917,0.022547892412627963,0.9999999999999672
48.0,0.45604203952055455,0.5239595861884742,0.019998374290937617,0.9999999999999664
49.0,0.45668267407654806,0.5253469291557479,0.017970396767670104,0.999999999999966
50.0,0.4575966417338039,0.5267438533480886,0.01565950491807353,0.999999999999966
51.0,0.45818858178225313,0.5277124825182793,0.014098935699433893,0.9999999999999662
52.0,0.45883584131886684,0.528521610751778,0.012642547929321386,0.9999999999999661
53.0,0.45905195324928266,0.5292780025082325,0.01167004424245051,0.9999999999999657
54.0,0.45916000921449057,0.5301964782124988,0.010643512572975694,0.999999999999965
55.0,0.4597543170231341,0.5308448140037456,0.009400868973085131,0.9999999999999648
56.0,0.4602419111766965,0.5314948276826512,0.008263261140617125,0.9999999999999648
57.0,0.4605137289773748,0.5320928268441435,0.007393444178446903,0.9999999999999651
58.0,0.4606768196577818,0.5326364624455001,0.006686717896683591,0.9999999999999656
59.0,0.46078644534929497,0.5330745159259319,0.0061390387247386,0.9999999999999656
60.0,0.46084125819505156,0.5331841416174451,0.005974600187468817,0.9999999999999655
61.0,0.4610605095780779,0.5336226443834978,0.005316846038389683,0.9999999999999654
62.0,0.46144419949837406,0.5337328929482582,0.004822907553333093,0.9999999999999655
63.0,0.4615564067368397,0.5341797182014336,0.004263875061692072,0.9999999999999654
64.0,0.46161326851308915,0.5344064071494147,0.003980324337461481,0.9999999999999653
65.0,0.4617863260929787,0.5344640930093779,0.0037495808976086395,0.9999999999999654
66.0,0.4618440119529419,0.5346948364492309,0.00346115159779259,0.9999999999999654
67.0,0.46201706953283145,0.5349255798890838,0.003057350578050121,0.9999999999999655
68.0,0.46207475539279463,0.5350409516090103,0.002884292998160491,0.9999999999999655
69.0,0.4623054988326474,0.5352140091889,0.0024804919784180224,0.9999999999999655
70.0,0.46242087055257375,0.5353870667687898,0.0021920626786019744,0.9999999999999655
71.0,0.4625939281324633,0.535444752628753,0.0019613192387491355,0.9999999999999654
72.0,0.4627092998523897,0.5355024384887163,0.0017882616588595056,0.9999999999999655
73.0,0.4627092998523897,0.5355601243486795,0.001730575798896295,0.9999999999999656
74.0,0.46276698571235286,0.535675496068606,0.0015575182190066647,0.9999999999999655
75.0,0.46276698571235286,0.535675496068606,0.0015575182190066647,0.9999999999999655
76.0,0.4629977291522056,0.535675496068606,0.0013267747791538254,0.9999999999999654
77.0,0.4630554150121688,0.5357331819285692,0.0012114030592274053,0.9999999999999654
78.0,0.4630554150121688,0.5357908677885325,0.0011537171992641953,0.9999999999999654
79.0,0.463113100872132,0.5358485536484957,0.0010383454793377763,0.9999999999999655
80.0,0.463113100872132,0.5358485536484957,0.0010383454793377763,0.9999999999999655
81.0,0.463113100872132,0.5360216112283854,0.0008652878994481474,0.9999999999999656
82.0,0.46317078673209516,0.5360216112283854,0.0008076020394849374,0.9999999999999656
83.0,0.46322847259205835,0.5360792970883487,0.0006922303195585179,0.9999999999999656
84.0,0.46322847259205835,0.5361946688082752,0.0005768585996320982,0.9999999999999656
85.0,0.46328615845202153,0.5362523546682384,0.0004614868797056785,0.9999999999999656
86.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
87.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
88.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
89.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
90.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
91.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
92.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
93.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
94.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
95.0,0.4633438443119847,0.5362523546682384,0.0004038010197424687,0.9999999999999656
96.0,0.4633438443119847,0.5363100405282016,0.00034611515977925897,0.9999999999999656
97.0,0.4633438443119847,0.5363677263881649,0.0002884292998160493,0.9999999999999657
98.0,0.4633438443119847,0.5363677263881649,0.0002884292998160493,0.9999999999999657
99.0,0.4633438443119847,0.5363677263881649,0.0002884292998160493,0.9999999999999657
100.0,0.4633438443119847,0.5363677263881649,0.0002884292998160493,0.9999999999999657
